Origem;Data_recebimento;Id_consumidor;Tipo_pessoa;Id_inad1;Id_inad2;Tipo_baixa;Contagem;Data_mov;Comando
0aa1883c6411f7873cb83dacb17b0afc;20200128;ff4fc08bc83927e2d11aeeda84b9702e;F;182be0c5cdcd5072bb1864cdee4d3d6e;dda99de58ff020cfb57fec1404c97003;12;2;20150428.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200417;ff4fc08bc83927e2d11aeeda84b9702e;F;182be0c5cdcd5072bb1864cdee4d3d6e;dda99de58ff020cfb57fec1404c97003;12;1;20150428.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200429;ff4fc08bc83927e2d11aeeda84b9702e;F;182be0c5cdcd5072bb1864cdee4d3d6e;dda99de58ff020cfb57fec1404c97003;12;1;99999999.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200206;5236890ff59055da299be2248224368a;F;c4ca4238a0b923820dcc509a6f75849b;d84210a75448034bcc4947005695c306;12;1;99999999.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;5236890ff59055da299be2248224368a;F;c4ca4238a0b923820dcc509a6f75849b;d84210a75448034bcc4947005695c306;12;1;20191223.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200130;02d9fbf163f36e1c0e98c475db7388ed;F;c4ca4238a0b923820dcc509a6f75849b;289dff07669d7a23de0ef88d2f7129e7;12;1;20200127.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;02d9fbf163f36e1c0e98c475db7388ed;F;c4ca4238a0b923820dcc509a6f75849b;289dff07669d7a23de0ef88d2f7129e7;12;7;20200120.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;c313b81ab5c5ccc888bce83c38a49ccd;F;c4ca4238a0b923820dcc509a6f75849b;6d6968d87c240c699190e2d8c029fa9d;12;1;20180709.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;13b503592fdb200b9e80cf342f6bf985;F;3dd48ab31d016ffcbf3314df2b3cb9ce;4e0ccd2b894f717df5ebc12f4282ee70;12;1;20161019.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20211020;13b503592fdb200b9e80cf342f6bf985;F;3dd48ab31d016ffcbf3314df2b3cb9ce;4e0ccd2b894f717df5ebc12f4282ee70;12;1;99999999.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;aa659967612574021f7de93a18e30aae;F;3dd48ab31d016ffcbf3314df2b3cb9ce;e6385d39ec9394f2f3a354d9d2b88eec;12;1;20181219.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;87271ac8c475009209ac73433bb3468d;F;3dd48ab31d016ffcbf3314df2b3cb9ce;39d4b545fb02556829aab1db805021c3;12;8;20160309.0;10.0
